Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Shopping/img_item_speaker""))",Chrome 121.0.0.0,,,2024-02-12 09:13:24,2024-02-12 09:13:25,0.437s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Shopping/btn_manufacturer""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:13:25,2024-02-12 09:13:29,3.944s,PASSED
"click(findTestObject(""Object Repository/Shopping/btn_manufacturer""))",Chrome 121.0.0.0,,,2024-02-12 09:13:29,2024-02-12 09:13:29,0.382s,PASSED
manufacturer = manufacturer,Chrome 121.0.0.0,,,2024-02-12 09:13:29,2024-02-12 09:13:29,0.009s,PASSED
switch (manufacturer),Chrome 121.0.0.0,,,2024-02-12 09:13:29,2024-02-12 09:13:30,0.859s,PASSED
"click(findTestObject(""Object Repository/Shopping/btn_color""))",Chrome 121.0.0.0,,,2024-02-12 09:13:30,2024-02-12 09:13:31,0.534s,PASSED
color = color,Chrome 121.0.0.0,,,2024-02-12 09:13:31,2024-02-12 09:13:31,0.000s,PASSED
switch (color),Chrome 121.0.0.0,,,2024-02-12 09:13:31,2024-02-12 09:13:32,1.094s,PASSED
,,,,,,,
Test Cases/Final Project - Website/Positive Test/Shopping/filter_search_test,Chrome 121.0.0.0,,,2024-02-12 09:13:32,2024-02-12 09:14:22,50.066s,PASSED
website.Browser.openBrowser(website_url),Chrome 121.0.0.0,,,2024-02-12 09:13:32,2024-02-12 09:13:58,25.619s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/User Management Objects/btn_account""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:13:58,2024-02-12 09:13:59,0.900s,PASSED
delay(10),Chrome 121.0.0.0,,,2024-02-12 09:13:59,2024-02-12 09:14:09,10.009s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Shopping/img_item_speaker""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:14:09,2024-02-12 09:14:09,0.363s,PASSED
"click(findTestObject(""Object Repository/Shopping/img_item_speaker""))",Chrome 121.0.0.0,,,2024-02-12 09:14:09,2024-02-12 09:14:09,0.450s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Shopping/btn_manufacturer""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:14:09,2024-02-12 09:14:19,9.507s,PASSED
