Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User Management,Chrome 121.0.0.0,,,2024-02-12 09:25:14,2024-02-12 09:26:28,1m - 14.664s,FAILED
,,,,,,,
Test Cases/Final Project - Website/Positive Test/User Management/login_test,Chrome 121.0.0.0,,,2024-02-12 09:25:14,2024-02-12 09:25:44,30.492s,PASSED
website.Browser.openBrowser(website_url),Chrome 121.0.0.0,,,2024-02-12 09:25:14,2024-02-12 09:25:25,10.311s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/User Management Objects/btn_account""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:25:25,2024-02-12 09:25:26,1.657s,PASSED
delay(10),Chrome 121.0.0.0,,,2024-02-12 09:25:26,2024-02-12 09:25:36,10.019s,PASSED
"click(findTestObject(""Object Repository/User Management Objects/btn_account""))",Chrome 121.0.0.0,,,2024-02-12 09:25:36,2024-02-12 09:25:37,0.649s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/User Management Objects/input_login_username""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:25:37,2024-02-12 09:25:37,0.623s,PASSED
"setText(findTestObject(""Object Repository/User Management Objects/input_login_username""), username)",Chrome 121.0.0.0,,,2024-02-12 09:25:37,2024-02-12 09:25:38,0.899s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/User Management Objects/input_login_password""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:25:38,2024-02-12 09:25:40,1.170s,PASSED
"setText(findTestObject(""Object Repository/User Management Objects/input_login_password""), password)",Chrome 121.0.0.0,,,2024-02-12 09:25:40,2024-02-12 09:25:40,0.788s,PASSED
"check(findTestObject(""Object Repository/User Management Objects/checkbox_login_remember_me""))",Chrome 121.0.0.0,,,2024-02-12 09:25:40,2024-02-12 09:25:42,1.192s,PASSED
"click(findTestObject(""Object Repository/User Management Objects/btn_signin""))",Chrome 121.0.0.0,,,2024-02-12 09:25:42,2024-02-12 09:25:42,0.583s,PASSED
