Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User Management,Chrome 121.0.0.0,,,2024-02-12 09:52:23,2024-02-12 09:53:50,1m - 26.812s,PASSED
,,,,,,,
Test Cases/Final Project - Website/Positive Test/User Management/login_test,Chrome 121.0.0.0,,,2024-02-12 09:52:24,2024-02-12 09:52:54,30.018s,PASSED
website.Browser.openBrowser(website_url),Chrome 121.0.0.0,,,2024-02-12 09:52:24,2024-02-12 09:52:34,10.256s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/User Management Objects/btn_account""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:52:34,2024-02-12 09:52:36,1.922s,PASSED
delay(10),Chrome 121.0.0.0,,,2024-02-12 09:52:36,2024-02-12 09:52:46,10.022s,PASSED
"click(findTestObject(""Object Repository/User Management Objects/btn_account""))",Chrome 121.0.0.0,,,2024-02-12 09:52:46,2024-02-12 09:52:47,0.570s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/User Management Objects/input_login_username""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:52:47,2024-02-12 09:52:47,0.731s,PASSED
"setText(findTestObject(""Object Repository/User Management Objects/input_login_username""), username)",Chrome 121.0.0.0,,,2024-02-12 09:52:47,2024-02-12 09:52:48,0.919s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/User Management Objects/input_login_password""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:52:48,2024-02-12 09:52:50,1.268s,PASSED
"setText(findTestObject(""Object Repository/User Management Objects/input_login_password""), password)",Chrome 121.0.0.0,,,2024-02-12 09:52:50,2024-02-12 09:52:51,0.868s,PASSED
"check(findTestObject(""Object Repository/User Management Objects/checkbox_login_remember_me""))",Chrome 121.0.0.0,,,2024-02-12 09:52:51,2024-02-12 09:52:51,0.767s,PASSED
"click(findTestObject(""Object Repository/User Management Objects/btn_signin""))",Chrome 121.0.0.0,,,2024-02-12 09:52:51,2024-02-12 09:52:52,0.515s,PASSED
